nome,ocupacao,data_nascimento,data_morte,conteudo
John Wesley, Pastor metodista britânico,17/06/1703,02/03/1791 (aos 87 anos),John Wesley (1703-1791) foi um reverendo anglicano e teólogo britânico. Foi o líder e precursor do Movimento Metodista ocorrido na Inglaterra no século XVIII.
Katy Perry, Cantora norte-americana,25/10/1984,não informado, Cantora norte-americana
Katie Holmes, Atriz norte-americana,18/12/1978,não informado,"Katie Holmes (1978) é uma atriz norte-americana, estrela dos filmes: ""A Filha do Presidente"" (2004), ""Batman Begins"" (2005), ""Loucas por Amor, Viciadas em Dinheiro"" (2008), entre outros."
Karl Marx, Filósofo e revolucionário alemão,05/05/1818,14/03/1883 (aos 64 anos),"Karl Marx (1818–1883) foi um filósofo e revolucionário socialista alemão. Criou as bases da doutrina comunista, onde criticou o capitalismo. Sua filosofia exerceu influência em várias áreas do conhecimento, tais como Sociologia, Política, Direito e Economia."
Karl Popper, Filósofo austríaco,28/07/1902,17/09/1994 (aos 92 anos),"Karl Popper (1902-1994) foi um filósofo austríaco, naturalizado britânico, que elaborou teorias que defendiam que o conhecimento científico decorre da experiência individual, e que não pode ser verificado por meio do raciocínio indutivo."
Kate Middleton, Princesa inglesa,09/01/1982,não informado,"Kate Middleton (1982), princesa inglesa, esposa do príncipe William, neto da Rainha Elizabeth II da Inglaterra. Oficialmente passou a ser chamada Princesa Catherine. O casal recebeu o título de Duque e Duquesa de Cambridge. Catherine Middleton é a primeira mulher de um herdeiro real sem ligação de berço com a aristocracia."
Karl Landsteiner, Médico e biólogo austríaco,14/06/1868,26/06/1943 (aos 75 anos),"Karl Landsteiner (1868-1943) foi um médico e biólogo austríaco, responsável pela classificação dos grupos sanguíneos, o sistema A B O, e descobridor do fator RH."
Karen Carpenter, Cantora norte-americana,02/03/1950,04/02/1983 (aos 32 anos),"Karen Carpenter (1950-1983) foi uma cantora norte-americana e baterista, que fez sucesso nos anos 70 com a dupla ""The Carpenters"", junto com seu irmão Richard."
Kanye West, Cantor e produtor norte-americano,08/06/1977,não informado,"Kanye West (1977) é um produtor musical e rapper norte-americano. É um grande artista e pop-star, conhecido internacionalmente. Produziu hits de músicos conhecidos como Alicia Keys e Eminem. Ganhou vários Grammys, entre os quais, de melhor performance Solo de Rap para a música “Stronger”, do álbum “Graduation”."
Kamala Harris, Política norte-americana,20/10/1964,não informado,"Kamala Devi Harris foi eleita vice-presidente dos Estados Unidos, sendo a número 2 do governo do democrata Joe Biden. A dupla venceu a eleição realizada em novembro de 2020, substituindo os republicanos Trump e Mike Pence."
Kaká, Jogador de futebol brasileiro,22/04/1982,não informado,"Ricardo Izecson dos Santos Leite, conhecido no mundo do futebol como apenas como Kaká, foi um jogador de futebol brasileiro. Kaká chegou a receber o título de Melhor Jogador do Ano pela FIFA em 2007."
Jürgen Habermas, Filósofo alemão,18/06/1929,não informado,Jürgen Habermas (1929) é um filósofo alemão e um dos mais influentes sociólogos do pós-guerra. É conhecido por suas teorias sobre a razão comunicativa e considerado um dos mais ilustres representantes da segunda geração da Escola de Frankfurt.
Justiniano, Imperador bizantino,11/05/0483,14/11/0565 (aos 82 anos),"Justiniano (483-565) foi um Imperador Bizantino, redator do ""Código Justiniano"", do ""Digesto"", das ""Institutas"" e as ""Novelas"", que constituíram o ""Direito Romano"", leis que asseguravam ao povo romano o domínio do mundo. Governou entre 527 e 565."
Justin Trudeau, Primeiro-ministro do Canadá,25/12/1971,não informado,"Justin Trudeau é atualmente o 23º primeiro-ministro do Canadá, país norte-americano. Exerce a função desde 2015 pelo Partido Liberal."
Justin Bieber," Cantor, ator e compositor canadense",01/03/1994,não informado,"Justin Bieber (1994) é um cantor e compositor canadense de música pop e R&B. Conquistou diversos prêmios, entre eles o Billboard Music Awards, o American Music Awards, o Brit Award, o Grammy Latino, o MTV Video Music Awards e o Grammy Awards."
Juscelino Kubitschek, Ex-presidente do Brasil,12/09/1902,22/08/1976 (aos 73 anos),"Juscelino Kubitschek (1902-1976) ex-presidente do Brasil governou entre 1956 e 1961. Durante seu mandato construiu Brasília, a nova capital do País, inaugurada no dia 21 de abril de 1960."
Juninho Pernambucano, Futebolista brasileiro,30/01/1975,não informado,"Juninho Pernambucano (1975) é um futebolista brasileiro. Conquistou títulos em todos os times que jogou. Iniciou sua carreira no Sport Clube do Recife. Jogou no Vasco, no Lyon da França e no Al-Gharrafa em Doha. Com a camisa da Seleção Brasileira fez 7 gols em 43 jogos."
Junqueira Freire, Poeta brasileiro,31/12/1832,24/06/1855 (aos 22 anos),Junqueira Freire (1832-1855) foi um poeta brasileiro. Fez parte da geração de poetas que mais se destacaram na segunda fase do Romantismo. É patrono da Cadeira n.º 25 da Academia Brasileira de Letras.
Júlio Verne, Escritor francês,08/02/1828,24/03/1905 (aos 77 anos),"Júlio Verne (1828-1905) foi um escritor francês do século XIX, precursor da moderna literatura de ficção científica. Autor das obras: ""Vinte Mil Léguas Submarinas"", ""Viagem ao Centro da Terra"", ""A Volta ao Mundo em Oitenta Dias"", entre outras. Previu com grande precisão em seus relatos fantásticos a aparição de alguns inventos criados com os avanços tecnológicos do século XX, entre eles, o helicóptero e as naves espaciais."
Júlio Prestes, Político brasileiro,15/03/1882,09/02/1946 (aos 63 anos),"Júlio Prestes (1882-1946) foi o último presidente eleito da República Velha - a República dos fazendeiros ou das oligarquias agrárias - no entanto, não chegou a assumir o cargo, pois um golpe militar entregou o poder a Getúlio Vargas."
Júlio Diniz, Escritor português,14/11/1839,12/09/1871 (aos 31 anos),"Júlio Diniz (1839-1871) foi um escritor e médico português, um dos mais importantes ficcionistas românticos de Portugal. Sua obra representou uma verdadeira análise da sociedade burguesa da segunda metade do século XIX."
Julio Cortázar, Escritor argentino,26/08/1914,12/02/1984 (aos 69 anos), Escritor argentino
Julie Andrews, Atriz inglesa,01/10/1935,não informado,"Julie Andrews (1935) é uma atriz inglesa. Brilhou no cinema no filme A Noviça Rebelde, que recebeu cinco prêmios do Oscar."
Júlio César, General e ditador romano,não informado,não informado,"Júlio César (100-44 a. C.) foi um militar, político e ditador romano. Seu objetivo era terminar com o regime republicano e implantar a monarquia."
Lucano, Poeta épico latino,não informado,não informado,"Lucano (39-65) foi um poeta épico latino que viveu na época do imperador romano Nero, de síntese difícil, foi admirado na Idade Média e serviu de modelo aos autores do classicismo francês."
Luca Signorelli, Pintor italiano,não informado,não informado,"Luca Signorelli (1445-1523) foi um pintor italiano. Sua obra-prima são os afrescos da Capela de São Brizio da Catedral de Orvieto, cidade medieval da região da Umbria, Itália."
Luan Santana, Cantor brasileiro,13/03/1991,não informado,"Luan Santana (1991) é um cantor e compositor brasileiro de música romântica, pop e sertaneja. Entre seus sucessos estão: Meteoro, ""Cê Topa"", ""Tanto Faz"", ""Tudo Que Você Quiser"", ""Escreve Aí” e ""Acordando o Prédio""."
Louis Pasteur, Cientista francês,27/12/1822,28/09/1895 (aos 72 anos),"Louis Pasteur (1822-1895) foi um cientista, químico e bacteriologista francês que revolucionou os métodos de combate às infecções. Entre outros trabalhos, estudou a fermentação do vinho e da cerveja, descobriu o processo de “pasteurização” do leite e criou a vacina contra a hidrofobia ou “raiva”."
Louis Armstrong, Cantor e trompetista norte-americano,04/08/1901,06/07/1971 (aos 69 anos),"Louis Armstrong (1901-1971) foi um cantor e trompetista norte-americano, um dos mais importantes nomes do blues e do jazz de todos os tempos."
Lord Byron, Poeta inglês,22/01/1788,19/04/1824 (aos 36 anos),"Lord Byron (1788-1824) foi um importante poeta do século XIX, um dos principais representantes do romantismo inglês, criador de personagens sonhadores e aventureiros que desafiavam as convenções morais e religiosas da sociedade burguesa."
Lobão, Cantor e compositor brasileiro,11/10/1957,não informado,"Lobão (1957) é cantor e compositor brasileiro, um dos maiores nomes do cenário pop-rock musical brasileiro dos anos 80 e 90. Seu maior sucesso em carreira-solo foi a música “Me Chama”."
Linus Pauling, Químico norte-americano,28/02/1901,19/08/1994 (aos 93 anos),"Linus Pauling (1901-1994) foi um químico norte americano. Recebeu o Prêmio Nobel de Química (1954) por descobertas na área de ligações químicas e seu uso na elucidação da estrutura molecular, e o Prêmio Nobel da Paz (1962) por sua luta contra as armas atômicas."
Lionel Messi, Jogador de futebol argentino,24/06/1987,não informado,Lionel Messi (1987) é um jogador de futebol argentino que joga no time Barcelona. Foi considerado o melhor jogador do mundo por várias vezes e campeão por três anos consecutivos.
Lima Duarte, Ator brasileiro,29/03/1930,não informado,"Ariclenes Venâncio Martins, conhecido pelo nome artístico Lima Duarte, é um reconhecido ator brasileiro. "
Lily Claudette, Atriz francesa,13/09/1903,30/07/1996 (aos 92 anos),"Lily Claudette (1903-1996) foi uma atriz francesa. Brilhou no cinema americano dos anos 30, em comédias sofisticadas, dramas históricos e melodramas. Possui uma estrela na calçada da fama."
Lima Barreto, Escritor e Jornalista,13/05/1881,01/11/1922 (aos 41 anos),"Lima Barreto (1881-1922) foi um escritor brasileiro, “o romancista da primeira república.” Foi um importante escritor do Pré-Modernismo - período histórico que precedeu a Semana de Arte Moderna."
Lewis Carroll, Escritor inglês,27/01/1832,14/01/1898 (aos 65 anos),"Lewis Carroll (1832-1898) foi um poeta, romancista e matemático inglês. É o autor das aventuras de ""Alice no País das Maravilhas"". Foi um dos precursores da poesia de vanguarda."
Lev Vygotsky, Psicólogo bielo-russo,17/11/1899,11/06/1934 (aos 34 anos),"Lev Vygotsky (1896-1934) foi um psicólogo bielo-russo que realizou diversas pesquisas na área do desenvolvimento da aprendizagem e do papel preponderante das relações sociais nesse processo, o que originou uma corrente de pensamento denominada Sócio Construtivismo."
Leucipo,não informado,não informado,não informado,
Leônidas, Futebolista brasileiro,06/09/1913,24/01/2004 (aos 90 anos),"Leônidas (1913-2004) foi um futebolista e técnico brasileiro. Foi o inventor do chute ""bicicleta"". Recebeu o apelido de ""Diamante Negro"". Foi tetracampeão carioca pelo Botafogo em 1935. Foi pentacampeão paulista pelo São Paulo. Atuou em duas Copas do Mundo, a de 1934 e 1938."
Leslie Nielsen, Ator canadense,11/02/1926,28/11/2010 (aos 84 anos),"Leslie Nielsen (1926-2010) foi um ator e comediante canadense. Durante três década atuou em papéis “sérios”, até descobrir seu talento para a comédia."
Leonhard Euler, Matemático e cientista suíço,15/04/1707,18/09/1783 (aos 76 anos),"Leonhard Euler (1707-1783) foi um importante matemático e cientista suíço, foi considerado um dos maiores estudiosos da matemática, em sua época. Sua contribuição teve como um dos pilares a Introdução à Análise dos Infinitos, obra que constitui um dos fundamentos da matemática moderna."
Leonardo Fibonacci,não informado,não informado,não informado,"Leonardo Fibonacci (1170 — 1250) foi um matemático italiano, de grande influência na idade média. Muitos consideram Fibonacci como o maior matemático da idade média. Introduziu os algarismos arábicos na Europa e descobriu a sequência de Fibonacci."
Leonardo DiCaprio, Ator norte-americano,11/11/1974,não informado,"Leonardo DiCaprio (1974) é um ator norte-americano. O filme ""Titanic"" foi o marco inicial de sua carreira. Depois de cinco indicação ao Oscar, em 2016 recebeu o Oscar de Melhor Ator, como Hugh Glass, no filme ""O Regresso""."
Leonel Brizola, Político brasileiro,22/01/1922,21/06/2004 (aos 82 anos),"Leonel Brizola (1922-2004) foi um político brasileiro, um dos principais líderes da esquerda trabalhista brasileira. Após o golpe de 1964, esteve exilado durante quinze anos, só retornando ao Brasil em 1979."
Luís da Câmara Cascudo, Folclorista brasileiro,30/12/1898,30/07/1986 (aos 87 anos),"Luís da Câmara Cascudo (1898-1986) foi um folclorista, historiador, professor e jornalista brasileiro. Foi um dos mais importantes pesquisadores das manifestações culturais brasileiras."
Manuel Bandeira, Poeta brasileiro.,19/04/1886,13/10/1968 (aos 82 anos),"Manuel Bandeira (1886-1968) foi um poeta brasileiro. ""Vou-me Embora pra Pasárgada"" é um dos seus mais famosos poemas. Foi também professor de literatura, crítico literário e crítico de arte."
Marcel Duchamp, Pintor e escultor francês,26/07/1887,02/10/1968 (aos 81 anos), Pintor e escultor francês
Marc Chagall, Pintor francês,07/07/1887,28/03/1985 (aos 97 anos),Eu e a Aldeia (1911)
Marc Bloch, Historiador francês,06/07/1886,16/06/1944 (aos 57 anos),"Marc Léopold Benjamin Bloch foi um relevante historiador - sobretudo um grande medievalista -, editor e um dos fundadores da Escola dos Annales."
Mao Tsé-Tung, Líder comunista chinês,26/12/1893,09/09/1976 (aos 82 anos),"Mao Tsé-Tung (1893-1976) foi um líder comunista e revolucionário chinês. Organizou a primeira guerrilha comunista na China, consolidou sua liderança e instaurou a República Popular da China em 1949. Governou a China de 1949 a 1976."
Maomé, Profeta muçulmano,não informado,não informado,"Maomé (570-632) foi um profeta muçulmano, chefe militar e legislador, fundador da religião muçulmana e do império árabe."
Manuel de Araújo Porto Alegre, Escritor brasileiro,29/11/1806,29/12/1879 (aos 73 anos),"Manuel de Araújo Porto Alegre (1806-1879) foi um escritor do Romantismo, jornalista, político, pintor, caricaturista, arquiteto e diplomata brasileiro. Recebeu do Imperador D. Pedro II, o título de Barão de Santo Ângelo."
Manuela d'Ávila, Política brasileira,18/08/1981,não informado,Manuela Pinto Vieira d'Ávila é uma jornalista e política brasileira que se candidatou à vice-presidência da República ao lado de Fernando Haddad.
Manuel de Abreu, Médico brasileiro,04/01/1894,30/01/1962 (aos 68 anos),"Manuel de Abreu (1894-1962) foi um médico brasileiro, inventor da abreugrafia processo que permite o diagnóstico precoce da tuberculose pulmonar. Com o tempo o exame passou a ser empregado para a descoberta de tumores nos pulmões, de lesões no coração e nos grandes vasos."
Manuel Botelho de Oliveira, Poeta brasileiro,não informado,não informado,"Manuel Botelho de Oliveira (1636-1711) foi um poeta brasileiro, um dos grandes representantes do estilo barroco que se desenvolveu na época do Brasil-Colônia. Foi o primeiro brasileiro a publicar poesias em livro."
Manuel Antônio de Almeida, Escritor brasileiro,17/11/1831,28/11/1861 (aos 30 anos),"Manuel Antônio de Almeida (1831-1861) foi um escritor brasileiro. Autor de um único romance, ""Memórias de Um Sargento de Milícias"". Fez parte da geração romântica. É patrono da cadeira nº.  28 da Academia Brasileira de Letras."
Manfred von Richthofen, Piloto alemão,02/05/1892,21/04/1918 (aos 25 anos), Piloto alemão
Manoel de Barros, Poeta Brasileiro,19/12/1916,13/11/2014 (aos 97 anos),Manoel de Barros (1916-2014) foi um dos principais poetas contemporâneos. Autor de versos nos quais elementos regionais se conjugavam a considerações existenciais e uma espécie de surrealismo pantaneiro.
Manabu Mabe, Pintor japonês,14/09/1924,22/09/1997 (aos 73 anos),"Manabu Mabe (1924-1997) foi um pintor, gravador e ilustrador japonês, naturalizado brasileiro. Foi um dos pioneiros da pintura abstrata no Brasil."
Man Ray, Fotógrafo e pintor norte-americano,27/08/1890,18/11/1976 (aos 86 anos), Fotógrafo e pintor norte-americano
Malcolm X, Ativista norte-americano,19/05/1925,21/02/1965 (aos 39 anos),"Malcolm X (1925-1965) foi um ativista norte-americano, um dos mais polêmicos e populares líderes do movimento pelos direitos civis dos negros nos Estados Unidos."
Mahatma  Gandhi, Líder pacifista indiano,02/10/1869,30/01/1948 (aos 78 anos),"Mahatma Gandhi (1869-1948) foi um líder pacifista indiano. Principal personalidade da independência da Índia, então colônia britânica. Ganhou destaque na luta contra os ingleses por meio de seu projeto de não violência."
Malala Yousafzai, Militante dos direitos das crianças,12/07/1997,não informado,"Malala Yousafzai (1997) é uma militante dos direitos das crianças, uma jovem paquistanesa que foi vítima de um atentado por defender o direito das meninas de ir à escola. Com 17 anos, foi a mais jovem ganhadora do Prêmio Nobel da Paz."
Magnus Carlsen, Jogador de xadrez norueguês,30/11/1990,não informado,Magnus Carlsen (1990-) é um jogador de xadrez norueguês de enorme reconhecimento. 
Mafalda, Personagem argentina,não informado,não informado,"Mafalda é uma personagem criada pelo cartunista argentino Quino (1932-2020). A menina é uma heroína contestadora, revolucionária, inquieta, que se recusa a aceitar o mundo como ele é, procurando sempre formas de questionar e de mudar a sociedade. "
Madre Teresa de Calcutá, Missionária católica albanesa.,26/08/1910,05/09/1997 (aos 87 anos),"Madre Teresa de Calcutá (1910-1997) foi uma missionária católica macedônia, famosa por seu trabalho de ajuda às populações carentes do Terceiro Mundo."
Madre Paulina, Religiosa ítalo-brasileira,16/12/1865,09/07/1942 (aos 76 anos),"Madre Paulina (1865-1942) foi uma religiosa ítalo-brasileira. Primeira santa brasileira, foi canonizada em 2002, recebendo o nome de Santa Paulina do Coração Agonizante de Jesus. Foi beatificada pelo papa João Paulo II, quando de sua visita à Florianópolis, Santa Catarina."
Machado de Assis, Escritor brasileiro,21/06/1839,29/09/1908 (aos 69 anos),"Machado de Assis (1839-1908) foi um escritor brasileiro, um dos nomes mais importantes da literatura brasileira do século XIX. Destacou-se principalmente no romance e no conto, embora tenha escrito crônicas, poesias, crítica literária e peças de teatro."
Madonna, Cantora e atriz norte-americana,16/08/1958,não informado,"Madonna (1958) é uma cantora, atriz e produtora musical norte-americana. É considerada uma das maiores pop stars desde a década de 80 e uma das grandes responsáveis pela mudança de comportamento social no final do século XX. Algumas músicas ficaram bastante conhecidas, entre elas: ""Like a Virgin"", ""la Isla Bonita"", ""Vogue"", ""Hung up"" e “4 Minutes""."
Marlon Brando, Ator norte-americano,03/04/1924,01/07/2004 (aos 80 anos),"Marlon Brando (1925-2004) foi um ator e diretor norte-americano, recebeu duas estatuetas do Oscar de Melhor Ator com os filmes ""Sindicato de Ladrões"" (1954) e ""Poderoso Chefão"" (1972)."
Mark Zuckerberg, Fundador do Facebook,14/05/1984,não informado,"Mark Zuckerberg (1984) é o cofundador e CEO do Facebook, a maior rede social do planeta. Em 2012, o Facebook adquiriu o Instagram e, em 2014, comprou o WhatsApp, um aplicativo de troca de mensagens por celular."
Mark Twain, Escritor norte-americano,30/11/1835,21/04/1910 (aos 74 anos),"Mark Twain (1835-1910) foi um escritor norte-americano, autor dos livros ""Aventuras de Tom Sayer"" “O Príncipe e o Mendigo”, ""As Aventuras de Huckleberry Finn"", entre outros. Foi considerado um dos autores mais importantes do oeste americano."
Marisa Monte, Cantora e compositora brasileira,01/07/1967,não informado,"Marisa de Azevedo Monte, reconhecida pelo grande público apenas pelo primeiro e último nome, é um dos maiores nomes da MPB e atua como intérprete, compositora e produtora musical. "
Mario Vargas Llosa, Escrito peruano,28/03/1936,não informado,"Mario Vargas Llosa (1936) é um escritor, jornalista, ensaísta, romancista e crítico literário peruano. Com a publicação do romance Batismo de Fogo (1963), se consagrou como uma das figuras mais importantes da literatura hispano-americana dos anos 60. Foi agraciado com o Prêmio Nobel de Literatura em 2010."
Mario Sergio Cortella," Professor, filósofo e escritor brasileiro",05/03/1954,não informado,"Professor, escritor, e filósofo - Mario Sergio Cortella é um importante pensador brasileiro que há algumas décadas contribui não só no meio acadêmico como também procura popularizar as questões que estuda se comunicando com o grande público através do rádio, de programas de televisão, dos livros e do seu canal no youtube. "
Mário Quintana, Poeta e tradutor brasileiro,30/07/1906,05/05/1994 (aos 87 anos),"Mário Quintana (1906-1994) foi um poeta, tradutor e jornalista brasileiro. Foi considerado um dos maiores poetas do século XX. Mestre da palavra, do humor e da síntese poética, em 1980 recebeu o Prêmio Machado de Assis da ABL e em 1981 foi agraciado com o Prêmio Jabuti."
Mario Prata, Escritor brasileiro,11/02/1946,não informado,"Mario Prata (1946) é um escritor, dramaturgo e novelista brasileiro. Recebeu diversos prêmios, entre eles, dois Kikitos no Festival de Gramado com os filmes “Besame Mucho” (1987) e com “O Testamento do Sr. Napumoceno” (1997)."
Mário Lago, Ator e compositor brasileiro,26/11/1911,30/05/2002 (aos 90 anos),"Mário Lago (1911-2002) foi um compositor, ator, poeta, radialista e advogado brasileiro. Entre suas músicas mais famosas estão ""Ai que Saudades da Amélia"" e ""Atire a Primeira Pedra"", feitas em parceria com Ataúlfo Alves. A marcha carnavalesca ""Aurora"" que ficou famosa na voz de Carmem Miranda foi feita em parceria com Roberto Roberti e ""Nada Além"" feita em parceria com Custódio Mesquita famosa na voz de Orlando Silva. Atuou em várias novelas, entre elas, ""O Casarão"", ""Pecado Capital"" e ""Brilhante"". Participou de peças de teatro e filmes como ""Terra em Transe"" de Glauber Rocha. Militante político foi preso várias vezes."
Mário de Sá-Carneiro, Poeta português,19/05/1890,26/04/1916 (aos 25 anos),"Mário de Sá-Carneiro (1890-1916) foi um poeta português da primeira Geração Modernista, também conhecida como ""Geração do Orpheu"". Sua obra ocupa lugar de destaque na literatura portuguesa."
Mário Filho, Jornalista esportivo brasileiro,03/06/1908,17/09/1966 (aos 58 anos),"Mário Filho (1908-1966) foi um jornalista esportivo e escritor brasileiro. O nome do Estádio Jornalista Mário Filho, mais conhecido como Maracanã, foi uma homenagem ao grande jornalista esportivo."
Marina Silva, Ambientalista e política brasileira,08/02/1958,não informado,"Marina Silva (1958) é ambientalista e política brasileira. Recebeu em Londres, no Palácio de Saint James, das mãos do príncipe Philip da Inglaterra, a ""Medalha Duque de Edimburgo"", por sua luta em defesa da Amazônia brasileira. Recebeu o prêmio da ""Fundação Norueguesa Sophie"", por seu trabalho em defesa da Floresta Amazônica."
Mário de Andrade, Escritor brasileiro,09/10/1893,25/02/1945 (aos 51 anos),"Mário de Andrade (1893-1945) foi um escritor brasileiro. Publicou ""Pauliceia Desvairada"" o primeiro livro de poemas da primeira fase do Modernismo. Além de poeta, foi romancista, contista, crítico literário, professor e pesquisador de manifestações musicais e excelente folclorista."
Marina Ruy Barbosa, Atriz brasileira,30/06/1995,não informado,"Marina Ruy Barbosa Negrão é uma atriz brasileira que deu os primeiros passos na carreira quando ainda era criança e desde então permanece trabalhando na televisão, no cinema e no teatro."
Marina Colasanti, Escritora brasileira,26/09/1937,não informado, Escritora brasileira
Marilyn Monroe, Atriz norte-americana,01/06/1926,05/08/1962 (aos 36 anos),"Marilyn Monroe (1926-1962) foi uma atriz norte-americana, considerada um dos maiores símbolos sexuais da história do cinema. Depois que foi encontrada morta em sua cama, a atriz tornou-se uma das maiores lendas de Hollywood."
Marília Arraes, Política brasileira,12/04/1984,não informado,Marília Arraes (1984) é uma política brasileira. Neta do ex-governador Miguel Arraes (1916-2005) é filiada ao Partido dos Trabalhadores (PT) e concorre à prefeitura da cidade do Recife em 2020.
Marina Abramović, Artista performática sérvia,30/11/1946,não informado,Marina Abramovi? é considerada uma das principais artistas performáticas contemporâneas. Seus trabalhos questionam as identidades de gênero e procuram testar as fronteiras do corpo e a relação entre o corpo e a mente.
Marília Pêra, Atriz brasileira,22/01/1943,05/12/2015 (aos 72 anos),"Marília Pêra (1943-2015) foi uma atriz, cantora, produtora e diretora de teatro brasileira."
Marieta Severo, Atriz brasileira,02/11/1946,não informado,"Marieta Severo da Costa é uma importante atriz brasileira que atua na televisão, no cinema e no teatro. Ela também está à frente dos teatros Poeira e Poeirinha, situados em Botafogo (no Rio de Janeiro)."
Marielle Franco, Política e socióloga brasileira,27/07/1979,14/03/2018 (aos 38 anos),"Marielle Francisco da Silva (1979-2018), conhecida publicamente como Marielle Franco, foi uma política brasileira."
Marilena Chaui, Filósofa brasileira,04/09/1941,não informado,Marilena de Souza Chaui (1941) é uma importante intelectual brasileira que atua como professora do Departamento de Filosofia da Universidade de São Paulo (USP) desde 1967. 
Marie Fredriksson, Cantora e compositora sueca,30/05/1958,09/12/2019 (aos 61 anos),Marie Fredriksson foi uma cantora e compositora sueca que ficou famosa por fazer parte do vocal dos Roxette.
Michelle Obama, Ex-primeira dama norte-americana,17/01/1964,não informado,"Michelle Obama (1964) é uma advogada norte-americana. Foi primeira-dama dos Estados Unidos entre 2009 e 2017. Esposa do ex-presidente Barack Obama, foi a primeira afrodescendente a ocupar o posto de primeira-dama."
Michelle Bolsonaro, Primeira-Dama do Brasil,22/03/1980,não informado,Michelle Bolsonaro (1980) é a Primeira-Dama do Brasil e ativista das causas sociais e inclusivas. Foi secretária parlamentar da Câmara dos Deputados.
Michel Legrand, Músico francês,24/02/1932,26/01/2019 (aos 86 anos),"Michel Legrand (1932-2019) foi um músico francês, pianista, compositor e arranjador, premiado com três estatuetas do Oscar por trilhas sonoras de clássicos do cinema, trabalhou com grandes nomes da música, como Frank Sinatra, Edith Piaf e Robert Altman."
Michelangelo, Pintor e escultor italiano,06/03/1475,18/02/1564 (aos 88 anos),"Michelangelo (1475-1564) foi um pintor, escultor e arquiteto italiano, considerado um dos maiores representantes do Renascimento Italiano. ""Pietá"", ""O Juízo Final"", ""Moisés"", ""Davi"" e ""A Abóbada da Capela Sistina"" são algumas das obras que eternizaram o artista. "
Michel Temer, Político brasileiro,23/09/1940,não informado,Michel Temer (1940) é um político brasileiro. A tomada de posse como presidente da República aconteceu depois que o senado aprovou o 
Michel Foucault, Filósofo francês,15/10/1926,25/06/1984 (aos 57 anos),"Michel Foucault (1926-1984) foi um filosofo francês, que exerceu grande influência sobre os intelectuais contemporâneos. Ficou conhecido por suas posição contrária ao sistema prisional tradicional."
Michel Teló, Cantor e compositor brasileiro,21/01/1981,não informado,"Michel Teló (1981) é um cantor e compositor brasileiro e multi-instrumentista. Compôs, entre outros, os sucessos “Amanhã Sei Lá”, ""Ai Se Eu Te Pego"", “Fugidinha”, “Larga De Bobeira”, “Ei, Psiu! Beijo Me Liga” e “Se Intrometeu”."
Michael Jordan, Ex-jogador norte-americano,17/02/1963,não informado,Michael Jordan (1963) é um ex-jogador de basquetebol norte-americano que atuava como meio armador. É considerado um dos maiores jogadores de todos os tempos.
Michel de Montaigne, Escritor francês,28/02/1533,13/09/1592 (aos 59 anos),"Michel de Montaigne (1533-1592) foi um escritor, jurista, político e filósofo francês, o inventor do gênero ensaio. Foi considerado um dos maiores humanistas franceses."
Michael Jackson, Cantor norte-americano,29/08/1958,25/06/2009 (aos 50 anos),"Michael Jackson (1958-2009), conhecido como o Rei do Pop (apelido dado por Elizabeth Taylor), foi um cantor, compositor e dançarino norte-americano. Ele foi um dos maiores artistas do "
Michael Faraday, Físico e químico inglês,22/09/1791,25/08/1867 (aos 75 anos),"Michael Faraday (1791-1867) foi um físico e químico inglês. Em 29 de agosto de 1831 descobriu a indução eletromagnética. Foi o pai do motor elétrico e do gerador elétrico. É de sua autoria os termos técnicos usados na eletrólise como: eletrodo, eletrólito e íon."
Michael Phelps, Nadador norte-americano,30/06/1985,não informado,"Michael Phelps (1985) é um nadador norte-americano, considerado um dos maiores nadadores do mundo, conquistou o recorde ao ganhar 8 medalhas de ouro em uma só olimpíada."
Mia Couto, Escritor moçambicano,05/07/1955,não informado,"Mia Couto (1955) é um escritor, poeta e jornalista moçambicano. Ganhador do Prêmio Camões de 2013. Foi eleito para a Academia Brasileira de Letras para a cadeira n.º 5."
Mestre Yoda,não informado,não informado,não informado,Mestre Yoda é um personagem fictício da série de filmes Star Wars (Guerra nas Estrelas) do cineasta George Lucas. É o membro mais importante do Alto Conselho Jedi. Sábio e poderoso liderou o Conselho por mais de 800 anos.
Mestre Vitalino, Artista popular brasileiro,10/07/1909,20/01/1963 (aos 53 anos),"Mestre Vitalino (1909-1963) foi um artista popular brasileiro, considerado um dos maiores artistas da história da arte do barro no Brasil."
Mestre Ataíde, Pintor do Brasil Colonial,18/10/1762,02/02/1830 (aos 67 anos),Mestre Ataíde (1762-1830) foi um pintor brasileiro da época colonial. Foi um dos mais importantes artistas do barroco mineiro.
Meryl Streep, Atriz norte-americana,22/06/1949,não informado,"Meryl Streep (1949) é uma atriz norte-americana, consagrada como uma das mais talentosas e premiadas da história do cinema. Já concorreu vinte vezes ao Oscar vencendo três vezes, com Kramer vc. Kramer, A Escolha de Sofia e A Dama de Ferro."
Mem de Sá, Governador Geral do Brasil,não informado,não informado,"Mem de Sá (1498-1572) foi o terceiro governador geral do Brasil. Em sua administração, os franceses foram expulsos da Guanabara, foi fundada a cidade de São Sebastião do Rio de Janeiro e foram formadas as primeiras missões com objetivo de catequizar os índios."
